,Name,Household Income,Poverty Count,Total for poverty status,Unemployed in labor force,Total for employment status,Median house price,Moved to a different state,Moved to different state Male,Moved to different state Female,Moved to different state Less than high school graduate,Moved to different state High school graduate,Moved to different state Some college or associate's degree,Moved to different state Bachelor's degree,Moved to different state Graduate or professional degree,Moved to different state Below 100 percent of the poverty level,Moved to different state 100 to 149 percent of the poverty level,Moved to different state above 150 percent of the poverty level,Moved to different state 1 to 4 years,Moved to different state 5 to 17 years,Moved to different state 18 to 24 years,Moved to different state 25 to 34 years,Moved to different state 35 to 44 years,Moved to different state 45 to 54 years,Moved to different state 55 to 64 years,Moved to different state 65 to 74 years,Moved to different state 75 years and over,State,Year,Poverty Rate,Unemployment Rate
120,Maryland,71122,590803,5744445,244021,3708246,279900,100004,78320,79344,5806,17133,22490,23495,19705,24003,10327,101285,8271,20682,40082,33255,20099,13929,11877,5709,3760,24,2012,10.28477077,6.580496547
121,Massachusetts,65339,762645,6414762,279300,4246935,323800,128004,80428,77728,5450,15006,18205,28055,22613,22180,8195,103453,6965,12154,49708,42920,16610,11162,8519,5609,4509,25,2012,11.88890562,6.576507528
122,Michigan,46859,1685178,9663760,502972,6104749,115700,130365,90356,85377,7211,23990,30832,21301,17906,37617,15229,104915,8993,21540,43960,34600,21289,16648,14464,9227,5012,26,2012,17.43811932,8.239028337
123,Minnesota,58906,598371,5257443,171244,3344084,178400,95133,61095,54851,4840,13095,17734,15079,10155,21245,10065,66478,7115,12200,35728,23394,12637,8884,8244,5372,2372,27,2012,11.38140727,5.120804382
124,Mississippi,37095,698252,2890890,144835,1783844,99800,43623,36034,30913,4680,9329,11843,6383,3804,15440,6376,39810,4851,11142,14915,15881,9982,4708,3149,1429,890,28,2012,24.15353057,8.119263792
125,Missouri,45321,947792,5838008,239768,3661457,135000,113555,72674,70080,7277,20245,26809,18371,12203,31219,15838,83447,8540,19135,30174,34214,16392,13840,11374,5111,3974,29,2012,16.23485271,6.548431403
126,Montana,45076,152199,980594,34672,616796,184800,29724,17182,16650,941,4327,7427,4704,2778,6967,2663,21261,1344,3962,8349,6964,4612,2314,2489,2248,1550,30,2012,15.52110252,5.621307531
127,Nebraska,50723,233973,1800904,48054,1121006,128300,38631,25980,22836,3735,4496,7877,7726,4847,8340,5258,31671,3093,6762,10280,11034,6265,4600,3290,1630,1862,31,2012,12.99197514,4.286685352
128,Nevada,49760,446840,2718565,159170,1705729,150700,72585,51270,47612,6917,15321,22578,11583,5980,21662,8043,62064,6409,13812,16282,22394,14097,10414,8088,4877,2509,32,2012,16.4366127,9.331494042
129,New Hampshire,63280,128466,1280027,42803,844577,236000,34242,19505,19191,1229,3824,5796,7075,4025,5665,2858,24271,1677,3560,11510,7900,4037,3878,2653,1591,1890,33,2012,10.03619455,5.067980776
130,New Jersey,69667,934943,8691673,428796,5520629,311600,148898,111238,107964,8713,21260,27053,36498,27130,36400,15511,130389,11771,21762,65015,45164,26196,16804,17000,9416,6074,34,2012,10.75676685,7.767158416
131,New Mexico,42558,426245,2044778,91978,1246884,157500,49773,30374,33547,3268,7773,12554,9228,7096,13884,5433,39403,4315,8805,10882,13648,7248,5628,5869,4838,2688,35,2012,20.84553922,7.376628459
132,New York,56448,3025016,19064064,857059,12402577,280900,273774,205772,200092,23950,47674,55765,61890,55362,78705,38841,245674,26689,42484,92050,103552,51979,33539,24833,17030,13708,36,2012,15.86763452,6.910330006
133,North Carolina,45150,1713132,9498993,481367,5966410,150100,170477,125364,113299,12121,31694,41157,30754,21194,42225,20230,156940,18715,33193,49835,58726,33458,16565,15756,7988,4427,37,2012,18.03488012,8.067950409
134,North Dakota,53585,75703,674852,11758,436041,142500,21903,12574,11385,520,3289,4521,4114,1704,4403,1462,16723,1489,2849,5473,6338,2365,1579,2049,1078,739,38,2012,11.21771885,2.696535418
135,Ohio,46829,1824628,11227482,485063,7076483,127600,156490,101949,97253,9119,26153,33457,27383,22063,35939,15000,128270,9495,22618,48914,43554,26846,18581,15515,8852,4827,39,2012,16.25144445,6.854577337
136,Oklahoma,44312,637429,3699653,113319,2281244,114300,80163,52868,49704,7402,13808,17657,9595,7591,23515,11539,60816,9006,16778,20735,21656,13236,8494,6103,2561,4003,40,2012,17.22942665,4.967421284
137,Oregon,49161,658359,3826398,200600,2428162,223900,91255,52735,55447,5120,13581,20711,15496,9372,24345,10189,66078,6196,14520,23186,26809,15107,7701,8050,3606,3007,41,2012,17.20571148,8.261392774
138,Pennsylvania,51230,1693285,12353867,523960,7867912,163800,175863,116596,120560,10148,32980,32432,35473,26407,41490,18763,149745,13278,25377,61061,54205,27775,20175,16934,8872,9479,42,2012,13.70651797,6.659454249
139,Rhode Island,54554,138907,1010449,48363,666700,234600,22256,15789,14709,1342,2744,3962,5824,3532,8409,2281,15658,982,3303,8809,8166,3081,2266,2539,1034,318,44,2012,13.747057,7.254087296
140,South Carolina,43107,837770,4585454,234960,2868533,135500,89191,62850,64568,6614,16062,25589,18288,9521,22035,11326,83893,9887,15750,25707,28688,18181,13152,6721,5937,3395,45,2012,18.27016474,8.190946383
141,South Dakota,48362,107846,804310,19339,499064,134300,18808,11348,11186,835,2597,4313,3910,1766,3661,2390,13827,901,2858,5354,5912,1772,2265,1539,1032,901,46,2012,13.40851164,3.875054101
142,Tennessee,42764,1129330,6295994,273588,3971009,137800,125498,85137,78706,9420,24026,30857,17831,12671,35209,13048,100670,11608,24963,32467,35528,22527,17478,9262,6678,3332,47,2012,17.93727885,6.889634347
143,Texas,50740,4562352,25450518,936364,15858474,129200,292866,207085,195102,20927,47291,73653,52701,35841,74970,35522,249456,27174,53671,90929,94812,52206,36970,25752,13570,7103,48,2012,17.92636205,5.904502539
144,Utah,57049,360017,2806020,87063,1677068,199700,69866,43544,38621,2962,8422,12193,10872,6975,15961,11441,51539,8059,13147,19535,20502,9149,3688,4343,2609,1133,49,2012,12.83016514,5.191381626
145,Vermont,52977,71084,601611,20882,401075,216900,16924,10195,9861,723,1930,3317,3089,1609,3824,1260,12660,948,2264,6176,4587,1774,2109,1248,594,356,50,2012,11.81560842,5.206507511
146,Virginia,61741,931805,7936903,271967,5085461,237800,172254,122806,115734,7141,24900,37749,41697,34345,30397,17514,168855,12335,32139,48234,59737,35447,22249,14606,9379,4414,51,2012,11.7401586,5.347932075
147,Washington,57573,915278,6761934,284016,4321655,243000,145473,93453,87009,7326,21668,36773,28119,14855,29895,14335,119762,10666,20556,40499,41007,23295,17375,13103,9382,4579,53,2012,13.53574288,6.571926727
148,West Virginia,40196,320055,1801131,61853,1140973,100400,39594,24180,23245,2554,9475,7612,5581,4066,9372,4405,29979,2715,6940,8482,12680,4630,4701,3021,1999,2257,54,2012,17.76966806,5.421074819
149,Wisconsin,51059,737356,5573134,201661,3542388,165200,80962,50786,46938,2826,10730,15733,15833,9595,19695,6934,59513,3934,7863,31210,26198,8540,7751,7138,3224,1866,55,2012,13.23054497,5.692798192
150,Wyoming,54901,71019,561445,16128,358028,187400,28906,16443,15785,1586,4031,7110,2562,1833,6217,2221,21560,1727,7121,6258,5923,4958,1905,2444,1376,516,56,2012,12.64932451,4.504675612
152,Alabama,41574,892564,4706978,207481,2937335,123200,77787,54070,55140,7468,14567,19307,12197,11219,23005,7924,71252,6526,17095,20831,24937,15678,11749,6277,2740,3377,01,2012,18.96257004,7.063579742
153,Alaska,67712,72400,715608,28517,460946,245100,60227,44646,39422,7443,12886,17474,8268,4484,17595,11582,50948,6068,13692,13753,19594,14402,8952,4773,1206,1628,02,2012,10.11727091,6.186624897
154,Arizona,47826,1194506,6401273,277764,3866694,151500,165695,108946,97896,13258,30153,43919,23142,16163,41683,18784,130138,14442,29915,35850,47621,24343,18826,17306,9394,9145,04,2012,18.66044457,7.183500944
155,Arkansas,40112,568065,2865098,107098,1761365,107600,52153,31662,33305,5137,12907,9896,5918,3502,16547,6362,36204,4491,9858,13258,13252,7851,6806,4205,2129,3117,05,2012,19.82707049,6.080397873
156,Alabama,42849,883371,4716105,202811,2945466,122700,66015,49629,47590,7911,13768,15547,11977,7880,19748,11324,58298,5674,13901,20561,21940,13536,8904,7665,2560,2478,01,2013,18.73094429,6.885531865
157,Alaska,72237,67016,718359,31360,459776,254000,76943,52911,47020,6244,16648,18763,9490,6130,22617,12491,60783,5954,17982,18720,19712,14310,9751,6960,4072,2470,02,2013,9.329040215,6.820712695
158,Arizona,48510,1206460,6477191,249878,3900900,166000,144100,93654,89524,11592,23223,35685,23528,17741,36008,19727,114495,13587,24777,33045,39120,20701,20083,15631,8488,7746,04,2013,18.62628414,6.405649978
159,Arkansas,40511,565469,2873340,101702,1759900,109500,57287,38022,38941,6499,14084,11884,6573,4564,18394,11765,42291,5137,11514,16708,17170,9704,6368,4322,3221,2819,05,2013,19.67984993,5.778851071
160,California,60190,6328824,37593091,1802161,23976518,373100,402094,298298,283381,28989,63544,103254,82725,57344,118914,45319,348326,32072,73256,140495,134430,75048,49213,42914,21027,13224,06,2013,16.83507217,7.516358297
161,Colorado,58823,667446,5151461,178655,3304940,240500,141606,85110,81238,7509,18325,29772,29229,16933,28613,14839,112023,9746,19861,34973,39625,22457,16686,12501,7006,3493,08,2013,12.9564409,5.405695716
162,Connecticut,67098,373900,3485353,162930,2235695,267000,69907,46719,44881,2873,8037,12285,13355,13798,13549,5689,54356,3464,9446,28342,17949,11089,8012,6069,3749,3480,09,2013,10.72775125,7.287666699
163,Delaware,57846,111327,900322,38028,565138,226200,18136,13011,11760,1203,3467,3390,2711,3603,4063,1020,16619,1454,3284,5659,6389,2939,3257,420,1025,344,10,2013,12.36524266,6.728975932
164,District of Columbia,67572,115551,611788,37717,453153,470500,31144,28034,29053,3189,4753,5397,12727,13043,8078,2563,39273,2997,2819,12162,21333,8017,5098,2833,1009,819,11,2013,18.88742506,8.323237405
165,Florida,46036,3253333,19129950,838051,11646895,153300,320726,221238,202757,28323,65547,82887,60197,35669,78706,39640,273692,24461,49660,77251,92825,53362,44183,35828,21696,24729,12,2013,17.00648982,7.195488583
166,Georgia,47829,1843768,9720914,470060,6151890,141600,168038,137198,132948,15128,30730,46946,35535,25800,56764,25689,165479,20859,38125,57023,62757,33963,25937,16602,8666,6214,13,2013,18.96702306,7.640903852
167,Hawaii,68020,148368,1367662,38705,822542,500000,33966,31513,28924,1344,5699,12412,9986,4612,7389,4915,43331,5772,7751,12861,16959,6457,4226,3815,1648,948,15,2013,10.84829439,4.705534793
168,Idaho,46783,246550,1582911,50573,946943,159000,55026,31633,32155,2279,7531,13088,7137,3042,14329,8738,37314,5101,10792,14818,13051,6099,4518,4639,3521,1249,16,2013,15.57573357,5.340659364
169,Illinois,56210,1845393,12576680,590328,8010771,169600,222884,157828,146816,11516,31977,43827,49040,35637,55817,21946,186323,17821,34783,80043,72633,33995,24404,22482,12629,5854,17,2013,14.67313313,7.369178323
170,Indiana,47529,1015127,6367890,238719,4008950,122200,109053,72834,62638,8226,19238,24450,17972,12185,26263,13921,84426,5913,17963,29525,32145,15964,12538,10276,7447,3701,18,2013,15.94134007,5.954651467
171,Iowa,52229,379127,2991670,72003,1868852,126900,62512,39805,37665,3101,9329,13400,11684,7594,15235,5353,50214,4404,8449,19509,17607,9067,6529,4844,3863,3198,19,2013,12.67275468,3.852793052
172,Kansas,50972,393358,2811722,79615,1730369,129700,75856,50325,43658,4371,14179,15989,9856,9036,18167,10248,57943,5566,14425,20561,22268,11610,7498,5694,3306,3055,20,2013,13.98993215,4.601041743
173,Kentucky,43399,800635,4266556,162199,2687179,120900,79502,49410,49303,6097,15336,18329,10682,8882,18696,12370,58977,7560,13812,18015,22049,16161,9013,6880,2630,2593,21,2013,18.76536954,6.036032583
174,Louisiana,44164,888019,4494989,162272,2825101,140300,60866,50680,49031,4922,13241,18273,11764,7579,22848,9311,60865,5075,18709,20148,26125,12478,7269,4771,2965,2171,22,2013,19.75575469,5.743936234
175,Maine,46974,180639,1293827,43556,825507,172800,25477,15343,13497,1110,4872,3674,4126,3489,3663,2105,19033,1254,2352,7963,5392,3641,2674,2423,1272,1869,23,2013,13.96160383,5.276272642
176,Maryland,72483,585571,5788159,221943,3722201,280200,120682,92839,90477,6378,19136,29032,28696,22634,28030,14410,117280,11258,21140,45042,46079,21053,15890,12936,6666,3252,24,2013,10.1167055,5.962681757
177,Massachusetts,66768,770513,6456530,261322,4272843,327200,124971,75228,80296,4995,13111,18039,30435,26034,23755,9346,97190,6781,9634,46495,42744,15575,12452,9896,7158,4789,25,2013,11.93385611,6.115881159
178,Michigan,48273,1648436,9669513,443214,6096761,117500,122439,85814,81182,7476,20247,26520,23938,21187,31962,14241,105373,7972,18866,40790,37326,15957,12748,16959,10082,6296,26,2013,17.04776652,7.269663351
179,Minnesota,60702,592422,5292348,149516,3357171,180100,97419,59725,59496,4597,11710,19067,18215,10202,24367,8381,69619,5727,10950,38753,24032,13741,9789,9106,5691,1432,27,2013,11.19393509,4.45363075
180,Mississippi,37963,695915,2893768,133506,1790746,97500,46177,37447,34983,5145,9422,12396,6873,4754,16810,6758,39699,4845,11036,17959,14917,11222,5399,2701,2583,1768,28,2013,24.0487489,7.455328673
181,Missouri,46931,931066,5861009,209765,3666019,133200,111017,69757,68855,5317,15926,22924,20758,14067,23737,12084,90094,9241,18938,31441,36418,16491,11355,7278,4061,3389,29,2013,15.88576301,5.721874327
182,Montana,46972,163637,990603,31393,616125,190100,29414,14410,17180,1540,5001,6020,4222,1766,6997,3090,19087,1177,4093,7771,7159,2357,2034,2675,2958,1366,30,2013,16.51892837,5.095232299
183,Nebraska,51440,239433,1815565,42073,1125425,132700,41321,24154,23601,2244,5452,7479,5968,3184,8203,5440,27873,3121,6725,13582,8929,5218,4091,2680,2308,1101,31,2013,13.18779553,3.738409934
184,Nevada,51230,433576,2750476,145175,1719885,165300,71157,47099,53823,6113,16447,24617,10249,6086,21745,9152,64333,5156,15685,16569,22095,13477,10106,9030,5135,3669,32,2013,15.76367145,8.440971344
185,New Hampshire,64230,111495,1281181,39119,842880,233300,38449,22102,23984,2950,5996,6907,6014,5112,7922,5030,28017,2317,4439,12351,10848,3644,4347,3895,2519,1726,33,2013,8.702517443,4.641111427
186,New Jersey,70165,998549,8721010,389072,5528837,307700,137412,103457,98862,10013,24661,22818,33170,25093,31514,13635,119841,7862,18135,60567,42715,21923,16993,14916,10460,8748,34,2013,11.4499238,7.037139999
187,New Mexico,43872,448461,2045402,81410,1243353,159200,58209,39632,35965,5650,7371,14572,13077,6850,12259,6414,52290,4809,10732,12536,17926,7760,8790,5942,4599,2503,35,2013,21.92532324,6.547617611
188,New York,57369,3055645,19133973,811780,12439975,277600,279733,199087,202353,18416,41099,59497,67773,63795,74274,30417,260003,24677,40811,85372,109546,52226,29124,24677,19632,15375,36,2013,15.96973613,6.525575815
189,North Carolina,45906,1715397,9588277,433365,6000202,154300,179267,131213,115877,11666,32487,44195,33920,23776,45369,19974,164459,17527,35285,48234,62182,33196,19697,15475,8018,7476,37,2013,17.89056574,7.222506842
190,North Dakota,55759,82398,698199,9499,451304,155400,26409,16454,13354,809,3962,6269,4255,1470,6034,2339,19384,1082,2948,9013,7710,1801,2735,2411,1147,961,38,2013,11.80150645,2.104789676
191,Ohio,48081,1796942,11248753,432572,7072114,127000,163869,105220,96295,8933,27712,28662,30883,24110,34000,14996,130053,11213,21821,48181,48472,22695,17615,18223,8413,4882,39,2013,15.97458847,6.116586922
192,Oklahoma,45690,626906,3735207,105462,2295734,116500,73995,55737,44824,5293,14957,18120,11942,6282,20324,11189,62014,7484,17423,19060,23564,11181,8021,7279,3778,2771,40,2013,16.78370168,4.593824894
193,Oregon,50251,642138,3852871,167658,2440752,229700,89740,57418,54262,5756,15701,19432,14713,9748,23805,12582,67400,6801,13825,25704,25133,12802,8906,10015,4547,3947,41,2013,16.66648066,6.86911247
194,Pennsylvania,52007,1690405,12353256,492210,7849516,164200,186884,120398,126897,10564,29815,33287,39992,33236,44843,19040,158618,10854,30375,59172,62246,28574,20707,16534,10247,8586,42,2013,13.68388221,6.270577702
195,Rhode Island,55902,144446,1010827,47881,668448,232300,27351,19208,16911,741,4474,5035,6125,4302,5253,1651,24155,1323,3787,10332,8534,4760,3013,2805,874,691,44,2013,14.28988343,7.163010436
196,South Carolina,44163,860380,4631801,200480,2893842,139200,95778,69920,58806,9788,17297,24674,15481,9225,21733,12162,83571,7952,16512,27797,31827,16619,12020,9162,3748,3089,45,2013,18.5754958,6.927814304
197,South Dakota,48947,115454,815049,16161,501769,138400,21588,14264,14854,924,4434,4431,3281,1895,5620,1981,19050,853,6436,6864,4952,2869,1728,2228,1902,1286,46,2013,14.16528331,3.220804793
198,Tennessee,44297,1126772,6335295,256116,3983560,140300,117834,79998,79499,8428,20474,29843,20791,14429,31301,12037,102602,9592,22624,33316,35832,22169,12764,14112,5476,3612,47,2013,17.78562798,6.429324524
199,Texas,51704,4530039,25834229,853029,16065579,132000,301472,211832,198145,25193,46564,66718,58442,39391,71014,36697,260180,27075,56482,90112,97699,48305,39594,27385,15009,8316,48,2013,17.53502688,5.309668578
200,Utah,59770,361181,2851587,68547,1701705,211400,82748,47389,44554,3999,8882,17317,15340,6394,17797,10479,59824,7224,12889,19898,23974,10755,6227,5808,2728,2440,49,2013,12.6659646,4.028136487
201,Vermont,52578,74058,602538,18272,397726,218300,18426,10709,11064,529,2247,2447,4379,2453,2997,1978,13929,1215,1479,7024,5236,2756,1157,1315,864,727,50,2013,12.29100903,4.594117558
202,Virginia,62666,938733,8010544,262776,5112923,239300,168387,125238,111182,8688,21934,38668,39499,34950,32209,14392,169350,15084,27200,50397,66968,28698,20196,17449,6085,4343,51,2013,11.71871723,5.139447631
203,Washington,58405,967282,6836262,260801,4339199,250800,148297,98512,92541,7033,19370,40704,30336,16813,38321,15574,122632,12193,23750,40854,42579,25614,16608,16791,8319,4345,53,2013,14.14928217,6.010348915
204,West Virginia,41253,332347,1798266,65190,1132703,103200,40581,26459,22168,3681,9091,8588,5346,4529,13100,4039,26702,2893,5840,8659,12254,6263,4355,3589,2793,1981,54,2013,18.48152609,5.755259764
205,Wisconsin,51467,755551,5593197,184311,3544103,163000,87622,54669,55529,3602,14706,18634,16861,9578,21983,8385,67146,5447,11779,29591,24660,13022,9312,7742,5297,3348,55,2013,13.50839243,5.200497841
206,Wyoming,58752,62039,569307,14381,358526,195500,24085,15076,13074,1333,4139,6529,3507,1309,5729,2469,18369,1557,3342,6434,8025,3043,2525,1747,1068,409,56,2013,10.89728389,4.011145635
208,Alabama,42830,910175,4727549,178798,2935367,125600,82891,59889,51766,7853,16321,18889,12738,8447,20567,10904,70704,6425,15034,25948,25379,15392,10275,7153,3072,2977,01,2014,19.25257676,6.091163388
209,Alaska,71583,80627,717723,27696,456278,254500,71574,49143,43494,5173,17236,18959,10242,5750,18990,11146,58848,5167,13626,16484,23301,12486,11529,5618,3020,1406,02,2014,11.23372109,6.06998365
210,Arizona,50068,1199061,6573369,229430,3944492,176700,158967,106994,96816,10743,27502,41439,26341,15845,34704,19263,132510,13111,25354,43475,42700,24143,20130,17486,9584,7827,04,2014,18.24119413,5.816465086
211,Arkansas,41262,543882,2882856,85090,1762235,112500,50555,32308,32890,3575,9126,13172,6882,2978,13900,7967,37633,5213,9972,14280,12199,8426,4937,4329,2966,2876,05,2014,18.8660828,4.82852741
212,California,61933,6259098,38060228,1545654,24264509,412700,412940,313261,280047,30236,66467,106275,95774,58485,105487,49720,373342,36055,69369,130647,146081,74033,50788,46075,25560,14700,06,2014,16.44524568,6.370019686
213,Colorado,61303,630786,5237149,142188,3356310,255200,142154,89728,83604,4573,19803,31036,29453,17391,27023,11220,121936,10099,24639,36338,38143,23283,15869,12498,8170,4293,08,2014,12.04445396,4.236438231
214,Connecticut,70048,374772,3485629,137813,2233736,267200,76111,49346,46155,3142,7524,15768,15445,12668,15014,6379,58700,3185,9008,28761,22146,8149,7689,7375,5864,3324,09,2014,10.75191881,6.16961897
215,Delaware,59716,113508,909611,28962,567790,230500,15369,12995,14184,1068,4375,3317,3242,3409,5349,1745,17419,1033,3478,7257,5937,3225,2209,1892,943,1205,10,2014,12.47874091,5.100829532
216,District of Columbia,71648,110666,624327,32559,461152,486900,31295,27743,31395,1083,5234,4797,13821,15824,7800,2533,44352,2317,4090,11972,21808,8622,4073,2515,2264,1477,11,2014,17.72564698,7.060361876
217,Florida,47463,3211615,19470210,710875,11813708,162700,339505,222280,215236,28665,69438,87081,60181,41522,78445,45436,283964,23792,55067,71770,92928,57148,45647,41975,24582,24607,12,2014,16.49501983,6.017374054
218,Georgia,49321,1797969,9823859,379482,6200645,147900,156296,126938,118632,10391,29786,42052,32821,23298,44406,23011,156998,16467,38934,51821,59223,30581,22345,13895,8128,4176,13,2014,18.30206439,6.120040738
219,Hawaii,69592,156729,1379804,34951,836069,528000,36009,30774,29965,1402,5554,14804,9281,4860,7463,5109,43507,4358,7613,12867,18479,7825,4898,2663,1216,820,15,2014,11.35878719,4.180396594
220,Idaho,47861,237981,1603083,38744,950894,165300,49952,28033,28854,3854,6115,11330,6629,3880,12430,6657,33413,3708,7464,13907,14066,3970,4293,3778,3364,2337,16,2014,14.84520764,4.074481488
221,Illinois,57444,1804535,12571848,498795,7998369,171900,223276,160912,162556,13861,33621,46232,52632,39604,64982,26493,190052,18465,39051,80002,76129,38988,27132,21777,14126,7798,17,2014,14.35377679,6.236208907
222,Indiana,49446,974218,6391460,214145,4012497,124300,108731,72586,64283,5637,17783,18963,20271,14932,27634,11102,85937,7547,15167,36569,31878,13259,12805,10346,5941,3357,18,2014,15.24249545,5.336951031
223,Iowa,53712,367816,3004857,67258,1872141,133100,63072,38612,38348,3549,8727,13780,10906,6258,15264,7197,47618,4252,8712,20776,17671,8045,5702,5455,3608,2739,19,2014,12.24071561,3.592571286
224,Kansas,52504,382712,2821431,69388,1725164,132100,74577,45968,47079,4220,12076,16807,11261,8953,16187,10825,59233,6451,12899,20380,23428,9583,7559,6721,2648,3378,20,2014,13.56446427,4.022110362
225,Kentucky,42958,817542,4275359,147712,2684670,123800,79226,50402,48094,6251,15743,16522,11872,8516,20612,9270,61778,7931,13751,17910,22826,11516,10763,6696,4639,2464,21,2014,19.12218366,5.502054256
226,Louisiana,44555,896524,4518525,153288,2824652,143600,52985,47677,38224,4936,11152,15232,10307,7885,18563,9111,52506,6349,13849,16191,20295,12908,5557,5698,2450,2604,22,2014,19.84107646,5.426792398
227,Maine,49462,182791,1294009,37896,822829,174800,27658,15951,16125,1408,4331,5501,3956,3203,7774,1918,18478,1701,2822,9154,6058,2966,3639,2000,2299,1437,23,2014,14.12594503,4.605574184
228,Maryland,73971,589818,5835377,215524,3737434,288500,112231,92913,84146,7796,20924,23473,29045,25408,28026,10930,118699,9714,19156,41543,43885,20792,15376,13091,8509,4993,24,2014,10.10762458,5.76663026
229,Massachusetts,69160,757235,6509672,229046,4303921,338900,117509,74120,79616,5506,14463,16609,24449,27113,24210,7970,99313,7511,13194,44891,41628,13977,12271,9289,6342,4633,25,2014,11.63246013,5.321798425
230,Michigan,49847,1568844,9686787,372798,6087266,125700,126386,86383,86954,5006,22629,32182,24044,22181,31803,14929,110718,8088,20205,39002,39091,21256,13503,14991,10843,6358,26,2014,16.19571071,6.124227198
231,Minnesota,61481,611354,5332552,128291,3370012,188300,97468,59536,61783,3366,13181,20495,18288,11480,21170,9951,71153,6130,12803,35576,28618,11522,9252,9018,5686,2714,27,2014,11.46456706,3.806841044
232,Mississippi,39680,623113,2895470,123251,1782144,104000,43856,35889,36654,3964,11120,12721,9479,5936,12094,7602,46894,5757,9012,14554,17409,10000,6842,4418,2577,1974,28,2014,21.52027132,6.915883341
233,Missouri,48363,908628,5878658,190511,3669439,138500,118740,77452,76774,6963,21442,23939,20533,15784,30050,13360,96055,9822,20743,35000,36142,18613,12363,10431,6741,4371,29,2014,15.45638477,5.191829051
234,Montana,46328,153954,997952,24196,618551,196800,32299,18942,16712,1391,4444,7011,4314,2642,6940,3537,22532,1976,4917,8959,7537,4216,2497,3169,1543,840,30,2014,15.42699448,3.91172272
235,Nebraska,52686,227310,1828121,39595,1127803,133800,36072,20960,22259,1843,4766,7726,7352,4378,4872,3660,30803,3128,5746,8280,12178,4934,2755,3625,1625,948,31,2014,12.43407849,3.510808182
236,Nevada,51450,426730,2800768,116906,1747883,192100,79134,52854,50745,5946,12729,25501,12146,8149,21633,11650,64638,6503,16630,15995,22281,14390,10433,8742,4657,3968,32,2014,15.23617808,6.688433951
237,New Hampshire,66532,117983,1287504,33939,843544,236400,35711,19807,21584,1826,5353,6105,6582,5287,6216,4879,25500,1401,3065,11772,6738,4924,4323,3895,3431,1842,33,2014,9.163699686,4.023382301
238,New Jersey,71919,972903,8762159,328384,5551498,313200,140156,104398,104185,6420,22290,25350,37000,25715,32209,10254,121563,9195,17870,64743,46931,22710,14667,15269,9676,7522,34,2014,11.10346206,5.915232249
239,New Mexico,44803,436153,2045525,77671,1238526,158400,53585,36350,33794,4246,10248,11186,10089,6525,11300,5491,48444,4316,10056,13478,12923,9063,7008,6047,4606,2647,35,2014,21.32230112,6.271245012
240,New York,58878,3062938,19228524,683178,12485670,279100,284257,211830,212244,22129,46848,61237,68913,60389,77290,36856,269370,25685,47954,90919,108155,53653,31342,30774,21815,13777,36,2014,15.92913736,5.471696753
241,North Carolina,46556,1668686,9691794,373959,6045208,155000,183782,122745,126193,8176,32852,44176,33629,26370,40420,26000,163932,19287,35172,49276,63471,29588,19620,18084,8151,6289,37,2014,17.21751412,6.186040249
242,North Dakota,59029,82264,712548,11377,458368,161800,22491,15955,11730,748,4148,6003,4354,1197,4735,2793,17709,1288,2103,7844,8789,1689,2176,2428,585,783,38,2014,11.54504679,2.482066811
243,Ohio,49308,1785780,11276403,385391,7061137,129100,167606,106773,100233,11658,26486,34725,28379,20567,38423,19868,128267,13023,23396,48772,46751,23250,16305,18160,10575,6774,39,2014,15.83643295,5.457917047
244,Oklahoma,47529,623840,3759517,96535,2305044,119800,76378,53785,48830,7395,13896,20100,10157,8669,18303,12066,64597,6837,15667,19894,24451,13779,9174,7840,2973,2000,40,2014,16.59362094,4.18798947
245,Oregon,51075,644450,3893475,144666,2449627,239800,81433,53286,49825,4667,12770,19209,16893,9817,20672,10985,62842,5543,10628,23584,23815,13845,7103,9697,4903,3993,41,2014,16.55205183,5.905633796
246,Pennsylvania,53234,1682212,12371337,417756,7833859,165400,192546,127046,124798,10570,30759,38669,38263,30277,47071,21364,155624,10941,26847,65518,57819,27886,20815,19168,12744,10106,42,2014,13.59765723,5.332697461
247,Rhode Island,54891,145596,1015655,39774,667555,236000,29345,19298,18578,1738,3971,4769,5769,5299,6414,2534,25333,2731,5560,8039,7909,5062,3357,2580,1932,706,44,2014,14.33518271,5.958160751
248,South Carolina,45238,843860,4691589,173882,2908636,140000,85585,64748,56776,6809,15770,21920,17032,9592,21797,7965,81471,6907,15798,27696,29856,14355,9323,8434,4870,4285,45,2014,17.98665655,5.97812858
249,South Dakota,50979,116843,824373,16122,503162,142300,23587,15790,15364,2157,4233,4648,3498,1559,7402,4400,15881,2557,5383,7119,5799,3253,2308,2008,1554,1173,46,2014,14.17355978,3.204137037
250,Tennessee,44361,1171307,6386663,229444,4001037,142900,125336,83563,76494,7000,23182,29733,22253,15579,27045,14878,104505,11985,21712,28613,39648,18801,14677,15180,5566,3875,47,2014,18.33989049,5.734613302
251,Texas,53035,4523708,26340247,740202,16366994,139600,319678,226267,208840,22519,51403,71758,58233,39422,71759,43632,274773,32878,62275,96619,98912,55405,38376,27302,15583,7757,48,2014,17.174129,4.522528694
252,Utah,60922,339900,2897762,65494,1722815,223200,65277,41023,38674,2093,7457,13655,13699,5953,15697,7979,52025,6642,13794,16404,20883,7861,5947,4186,2425,1555,49,2014,11.72974178,3.801568944
