,Name,Household Income,Poverty Count,Total for poverty status,Unemployed in labor force,Total for employment status,Median house price,Moved to a different state,Moved to different state Male,Moved to different state Female,Moved to different state Less than high school graduate,Moved to different state High school graduate,Moved to different state Some college or associate's degree,Moved to different state Bachelor's degree,Moved to different state Graduate or professional degree,Moved to different state Below 100 percent of the poverty level,Moved to different state 100 to 149 percent of the poverty level,Moved to different state above 150 percent of the poverty level,Moved to different state 1 to 4 years,Moved to different state 5 to 17 years,Moved to different state 18 to 24 years,Moved to different state 25 to 34 years,Moved to different state 35 to 44 years,Moved to different state 45 to 54 years,Moved to different state 55 to 64 years,Moved to different state 65 to 74 years,Moved to different state 75 years and over,State,Year,Poverty Rate,Unemployment Rate
27,Nebraska,48408,229923,1776166,58961,1108279,127600,36026,24409,19122,2327,5922,6867,4245,3824,7829,3594,27094,2490,4724,13132,10238,3763,3478,2950,1880,876,31,2010,12.94490492,5.320050276
28,Nevada,51001,398027,2666662,181247,1682011,174800,81186,53225,56184,9187,18112,25957,11220,5441,19175,11025,73666,6629,17640,15223,23377,16149,12615,9326,5404,3046,32,2010,14.92603862,10.77561324
29,New Hampshire,61042,105786,1276614,52926,844551,243000,35129,19718,18681,1257,4158,4213,4240,4411,5201,4958,20956,1095,3849,15176,4993,3099,4471,2622,1359,1735,33,2010,8.286451504,6.266761865
30,New Jersey,67681,884789,8626524,464259,5483966,339200,128182,96886,97086,9262,24700,21505,27840,21028,35244,11748,111598,10881,17493,61263,41471,19684,16640,12773,8283,5484,34,2010,10.25661089,8.465752705
31,New Mexico,42090,413851,2024716,85470,1245292,161200,40941,24420,26018,1657,5869,11707,6942,4166,9851,3764,31396,3854,6489,9754,9455,7111,4478,3575,3253,2469,35,2010,20.43995306,6.8634505
32,New York,54148,2821470,18879810,905417,12307934,296500,249702,180524,182615,20667,44791,48738,54884,46918,70658,33120,216380,19650,36175,91316,89264,46009,28095,25515,15046,12069,36,2010,14.94437709,7.356368664
33,North Carolina,43326,1627602,9304553,557162,5881141,154200,147709,108138,98887,10447,28133,36238,24858,15744,40591,20031,127077,14361,29277,47967,50155,26575,17185,12747,4858,3900,37,2010,17.49253296,9.473705868
34,North Dakota,48670,84895,651415,12896,418542,123000,22153,12060,12390,613,2185,4761,3309,1976,4436,2314,14898,1826,3779,6001,6104,3045,1314,1053,684,644,38,2010,13.0323987,3.08117226
35,Ohio,45090,1779032,11224969,615635,7082834,134400,152639,98036,89977,8742,24887,30391,25200,18671,38455,13244,115126,9753,20985,49384,41366,20682,18743,15385,6750,4965,39,2010,15.84888119,8.691930377
36,Oklahoma,42072,616610,3646849,137128,2256812,111400,70170,49906,40710,7520,15649,16158,7839,3847,15289,11905,54500,6544,13939,19120,21486,10119,8595,5357,2567,2889,40,2010,16.90802114,6.0761818
37,Oregon,46560,596408,3765919,231424,2408752,244500,84793,51004,49181,5947,11861,20324,12953,7960,21814,9862,59785,5890,13693,21557,22993,13900,8067,8317,3331,2437,41,2010,15.83698428,9.60763084
38,Pennsylvania,49288,1648184,12298955,567860,7841082,165500,160475,107798,102012,11029,27692,26543,27445,26125,37741,13699,130505,10694,21214,59068,49127,22428,17888,15141,7933,6317,42,2010,13.40100846,7.242112759
39,Rhode Island,52254,142188,1012200,54930,668429,254500,20996,11928,13020,975,2533,2707,3146,4565,4178,1332,15911,750,2465,7807,5052,3285,2808,1444,536,801,44,2010,14.04742146,8.217776308
40,South Carolina,42018,815755,4493865,265995,2841495,138100,85088,62407,55162,7213,16810,20982,12530,7665,23098,14064,69479,9401,17686,25282,27813,16710,10419,5760,1810,2688,45,2010,18.15263698,9.361093368
41,South Dakota,45904,113760,788226,23474,485843,129700,21918,13562,14353,826,3621,5848,2397,2156,5860,2613,16628,1747,3473,7847,4220,2755,2204,2391,1828,1450,46,2010,14.43240898,4.831601978
42,Tennessee,41461,1095466,6195120,323654,3933031,139000,110068,74643,68492,8383,20764,25824,18056,10958,30449,12833,86980,8398,20253,30499,31772,20519,14020,10468,4016,3190,47,2010,17.68272447,8.229124052
43,Texas,48615,4414481,24652927,1016196,15366701,128100,287806,219630,192011,24521,49818,67766,48655,29141,79456,37964,246679,31494,64395,95851,96131,46026,36577,21493,11920,7754,48,2010,17.90651877,6.612974379
44,Utah,54744,359242,2730176,115999,1633509,217200,65477,41581,33960,2871,7946,14972,11014,4897,15306,7637,48919,5787,10299,17755,19622,8816,5854,4893,1822,693,49,2010,13.15819932,7.101215849
45,Vermont,49406,76352,600850,26327,402516,216800,17138,10327,8053,399,1995,2054,2973,3136,3279,1683,9423,204,818,6801,4038,1406,2247,1297,521,1048,50,2010,12.70733128,6.540609566
46,Virginia,60674,861969,7780635,304026,5002902,249100,162406,119332,112670,7252,24384,38236,36252,28566,35743,15469,159275,17371,30606,49335,55897,32206,19158,15822,6596,5011,51,2010,11.07838885,6.076992913
47,Washington,55631,888718,6615922,346395,4245070,271800,133549,86642,79520,6418,20319,34148,22838,13085,26888,17575,104169,8432,22257,38665,38049,22155,12620,15060,5035,3889,53,2010,13.4330181,8.159936114
48,West Virginia,38218,326507,1799960,69077,1148249,95100,42869,25414,23935,4306,9469,8181,5175,3323,13010,4091,26815,4420,5688,8787,14104,6406,3831,3448,1051,1614,54,2010,18.13968088,6.015855446
49,Wisconsin,49001,731479,5535803,254883,3530109,169400,91676,55260,55980,4379,12052,19080,16959,9789,19200,9326,70242,5842,13191,29948,20721,16088,10794,8168,3591,2897,55,2010,13.21360243,7.220258638
50,Wyoming,53512,61577,551120,17220,350985,180100,24075,14943,13243,2397,4370,4984,3066,1881,6306,3151,15683,1362,2940,7186,6063,2992,4004,2028,971,640,56,2010,11.17306576,4.906192572
52,Alabama,41415,892483,4687363,242067,2944024,122700,74540,55974,50832,8089,11761,17636,14578,7570,24994,13751,59601,7264,17104,22804,25441,13840,9908,5291,3363,1791,01,2011,19.04019381,8.222317481
53,Alaska,67825,73905,706860,31988,454580,238300,61722,49507,39343,6570,12871,16518,11111,4346,24803,8679,50160,7393,15462,14579,20216,13163,9493,5861,1445,1238,02,2011,10.45539428,7.036825201
54,Arizona,46709,1203501,6336449,312425,3845434,153800,167755,107032,104784,14319,29486,42756,21188,15685,46030,23119,127621,13741,38194,36447,42167,28526,24335,14484,6103,7819,04,2011,18.99330366,8.124570595
55,Arkansas,38758,555876,2856663,119563,1763728,106300,58401,38765,38461,5805,13877,12717,7221,4246,18101,8165,45013,6198,13223,13939,14961,12018,6961,4115,2800,3011,05,2011,19.45892813,6.778993133
56,California,57287,6118803,36941931,2179068,23607468,355600,390888,292095,270248,35904,60836,100318,79250,56744,116916,45197,332499,33003,65543,130745,139926,70641,49515,40850,19436,12684,06,2011,16.56330039,9.230418103
